Longitude;Latitude;timeStamp ;Main (cl/min);Débit GE (ml/min);Débit GI (ml/min);Débit DI (ml/min);Débit DE (ml/min);ref_d1;ref_d2;ref_d3;ref_d4;Speed_brut;Speed_kmh;Speed_moymobile;Pressure_brut;Pressure_bars;Debit_ref_GE;Debit_ref_GI;Debit_ref_DI;Debit_ref_DE;volrate_d1;volrate_d2;volrate_d3;volrate_d4
3.8283786;43.659353;14:32:21:781;0;1532;1498;1554;1539;76;76;76;76;41.1;4.11;4.09;426;4.26;1554.2;1554.2;1554.2;1554.2;74.91442543;73.25183374;75.99022005;75.25672372
3.8283763;43.6593541;14:32:21:885;0;1532;1498;1554;1542;53;53;107;107;41.9;4.19;4.10047619;426;4.26;1086.62619;1086.62619;2193.754762;2193.754762;74.72302868;73.06468471;75.79607479;75.21077691
3.8283763;43.6593541;14:32:21:984;0;1529;1498;1557;1545;53;53;107;107;41.9;4.19;4.104285714;426;4.26;1087.635714;1087.635714;2195.792857;2195.792857;74.50748347;72.99686739;75.87191089;75.28715628
3.828374;43.6593552;14:32:22:096;0;1526;1495;1561;1545;53;53;107;107;40;4;4.108095238;426;4.26;1088.645238;1088.645238;2197.830952;2197.830952;74.29233801;72.78312275;75.99629072;75.21734091
3.828374;43.6593552;14:32:22:198;0;1520;1485;1576;1557;53;53;107;107;40;4;4.102857143;425;4.25;1087.257143;1087.257143;2195.028571;2195.028571;74.09470752;72.38857939;76.82451253;75.89832869
3.8283715;43.659356;14:32:22:296;0;1507;1476;1595;1573;53;53;107;107;41.1;4.11;4.097619048;425;4.25;1085.869048;1085.869048;2192.22619;2192.22619;73.55490994;72.04183614;77.85008716;76.77629285
3.8283715;43.659356;14:32:22:392;0;1488;1454;1624;1598;53;53;107;107;41.1;4.11;4.097619048;424;4.24;1085.869048;1085.869048;2192.22619;2192.22619;72.62754213;70.96804184;79.26554329;77.99651365
3.8283689;43.6593568;14:32:22:492;0;1466;1432;1658;1630;53;53;107;107;41.1;4.11;4.097619048;424;4.24;1085.869048;1085.869048;2192.22619;2192.22619;71.55374782;69.89424753;80.92504358;79.55839628
3.8283689;43.6593568;14:32:22:596;0;1441;1403;1696;1668;53;53;107;107;41.1;4.11;4.097619048;425;4.25;1085.869048;1085.869048;2192.22619;2192.22619;70.33352702;68.4787914;82.7797792;81.4131319
3.8283665;43.6593579;14:32:22:697;0;1406;1372;1740;1712;53;53;107;107;41.1;4.11;4.097619048;425;4.25;1085.869048;1085.869048;2192.22619;2192.22619;68.6252179;66.96571761;84.92736781;83.56072051
3.8283665;43.6593579;14:32:22:798;0;1372;1340;1784;1756;53;53;107;107;41.1;4.11;4.093809524;425;4.25;1084.859524;1084.859524;2190.188095;2190.188095;67.02803303;65.46469699;87.15598465;85.7880656
3.8283642;43.6593589;14:32:22:907;0;1337;1306;1835;1806;53;53;107;107;41.1;4.11;4.09;425;4.25;1083.85;1083.85;2188.15;2188.15;65.37897311;63.86308068;89.73105134;88.31295844
3.8283642;43.6593589;14:32:22:964;0;1302;1274;1882;1857;53;53;107;107;41.1;4.11;4.086190476;424;4.24;1082.840476;1082.840476;2186.111905;2186.111905;63.72683836;62.35636872;92.1151381;90.89150449
